year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Honda,Pilot,EX-L w/Navigation,SUV,automatic,5fnyf3h77eb006486,ca,4.2,9268,gray,black,"ahfc/honda lease trust/hvt, inc.",28400,28500,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Honda,Accord,LX,Sedan,automatic,1hgcr2f38ea236009,tx,4.4,7246,white,beige,"tdaf remarketing",17600,18400,Wed Dec 31 2014 10:15:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae9eh502320,il,4.9,12139,silver,gray,"hyundai motor america/lease",13750,13300,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2eh504684,nv,4.3,14667,blue,gray,"hyundai motor america",13400,13300,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2014,Hyundai,Azera,Limited,Sedan,automatic,kmhfh4jg0ea342762,nv,5,239,silver,black,"hyundai motor america/co car",25000,24500,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2014,Honda,Civic,LX,Sedan,automatic,19xfb2f50ee248914,ca,1.9,2170,silver,gray,"ahfc/honda lease trust/hvt, inc.",15450,11300,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae0eu616573,tx,3.9,23450,silver,gray,"tdaf remarketing",10800,11300,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
2014,Hyundai,Azera,Limited,Sedan,automatic,kmhfh4jg0ea339389,nv,5,244,silver,black,"hyundai motor america/co car",25000,24500,Fri Jan 09 2015 12:00:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae5eh505408,nv,4.1,15611,blue,gray,"hyundai motor america",13350,13300,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2014,Honda,CR-V,LX,SUV,automatic,5j6rm3h32el038065,fl,4.7,4858,burgundy,gray,"honda of ocala",19550,19600,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
